OBJECTID,X,Y
43291847,-122.374250455,47.631722697
43291848,-122.388704251,47.6849638210001
43291850,-122.346958443,47.6197370040001
43291851,-122.36965762,47.637759143
43291856,-122.329570476,47.6125040430001
43291863,-122.351133938,47.5709417840001
43291864,-122.354386568,47.671793763
43291865,-122.339100626,47.5752720930001
43291867,-122.292440033,47.626017801
43291875,-122.33532066,47.618521634
43291877,-122.3346951,47.5398931560001
43291887,-122.375091017,47.5446754760001
43291892,-122.376082241,47.521067024
43291894,-122.330362926,47.60665837
43291895,-122.335112416,47.6519734880001
43291898,-122.376156109,47.6377431540001
43291904,-122.334436321,47.61561648
43291906,-122.260035516,47.5503601980001
43291918,-122.322092272,47.6431904
43291920,-122.318858453,47.602689882
43291922,-122.370104162,47.5414344180001
43291925,-122.313467943,47.55410054
43291928,-122.297037984,47.632364812
43291930,-122.284806681,47.666805046
43291934,-122.38703845,47.5521103290001
43291937,-122.357594204,47.6383828840001
43291941,-122.360485841,47.620293019
43291942,-122.396098378,47.661313152
43291944,-122.349251037,47.652728519
43291947,-122.313444948,47.557142979
43291949,-122.340090525,47.666407174
43291950,-122.269985986,47.5336613860001
43291953,-122.325891459,47.6397270210001
43291959,-122.313357169,47.6866889660001
43291961,-122.34469413,47.705051213
43291963,-122.285905723,47.6170391100001
43291970,-122.300329934,47.545345126
43291971,-122.379360789,47.5592541090001
43291972,-122.316879239,47.7085548360001
43291975,-122.288820841,47.5568352290001
43291979,-122.368105844,47.571482164
43291985,-122.330735729,47.6104205560001
43291988,-122.346694106,47.642255203
43291989,-122.307172763,47.7084788870001
43291993,-122.283463601,47.538883044
43292000,-122.360237988,47.665976963
43292001,-122.293616377,47.572408077
43292003,-122.312857342,47.5992175040001
43292005,-122.357856716,47.5173622070001
43292011,-122.355437577,47.7036345590001
43292013,-122.33823829,47.55576875
43292015,-122.376607574,47.5351897410001
43292016,-122.325859972,47.7231392800001
43292022,-122.383434217,47.6738283600001
43292024,-122.238949391,47.5105015760001
43292025,-122.334193717,47.5713925750001
43292029,-122.368615554,47.661466929
43292033,-122.302329036,47.654995227
43292038,-122.310780299,47.583328511
43292040,-122.356756295,47.618607061
43292042,-122.336387476,47.6017202990001
43292048,-122.337873477,47.6129582670001
43292050,-122.304614115,47.6463960840001
43292053,-122.338381624,47.617939273
43292054,-122.360877255,47.6508292070001
43292056,-122.35250654,47.6169183390001
43292058,-122.376195353,47.6334990500001
43292064,-122.343181983,47.5410697200001
43292065,-122.330729696,47.615449718
43292067,-122.37358933,47.6678896700001
43292069,-122.289147125,47.553458151
43292071,-122.325852955,47.6140867170001
43292076,-122.338563477,47.66138633
43292079,-122.376188266,47.565038524
43292083,-122.376189318,47.564076598
43292084,-122.313131209,47.675793694
43292092,-122.367541531,47.6435856250001
43292093,-122.312514994,47.54816749
43292095,-122.344936819,47.7195722110001
43292097,-122.326153219,47.5462500020001
43292103,-122.358434475,47.663590884
43292105,-122.304400036,47.6500604450001
43292106,-122.347323067,47.6534504040001
43292108,-122.314910411,47.5264408890001
43292115,-122.331700191,47.620239881
43292117,-122.3596266,47.5223342260001
43292122,-122.264200645,47.5215536950001
43292123,-122.344029095,47.694182654
43292132,-122.266136125,47.506134457
43292139,-122.335083581,47.5396458010001
43292140,-122.322092272,47.6431904
43292141,-122.342391712,47.619719613
43292144,-122.27872142,47.5116458140001
43292150,-122.376133751,47.6348221910001
43292151,-122.327518857,47.57574343
43292153,-122.300641234,47.6785009230001
43292155,-122.335571293,47.521783113
43292162,-122.355900641,47.5345906540001
43292166,-122.333993044,47.708663066
43292170,-122.376222174,47.661211431
43292175,-122.386803951,47.560216982
43292177,-122.278955489,47.544225742
43292180,-122.331408528,47.602769176
43292182,-122.306214556,47.5541559420001
43292185,-122.35885789,47.5377715380001
43292191,-122.333264371,47.5882283610001
43292192,-122.346076339,47.6635811830001
43292193,-122.4007028,47.6891149750001
43292194,-122.368105844,47.571482164
43292196,-122.286442731,47.548079036
43292205,-122.281293191,47.5370423040001
43292207,-122.359313099,47.6257240400001
43292209,-122.345096094,47.547369191
43292214,-122.326970315,47.604625179
43292216,-122.376325582,47.662568407
43292217,-122.359985637,47.6504221600001
43292220,-122.344843624,47.617078937
43292224,-122.339053077,47.5191731630001
43292229,-122.323000434,47.6903969300001
43292230,-122.343777752,47.661384958
43292231,-122.374095685,47.686892379
43292233,-122.355487496,47.709620317
43292235,-122.32830709,47.685045336
43292241,-122.336301218,47.521243887
43292242,-122.302378723,47.719320839
43292243,-122.304590603,47.6482414270001
43292245,-122.311951556,47.663988229
43292251,-122.360237988,47.665976963
43292253,-122.408131863,47.5670850990001
43292254,-122.370764559,47.665042553
43292258,-122.362020472,47.6215726230001
43292259,-122.324096854,47.6048412750001
